,popularity,year,variable,value
0,77,2000,pop,1.0
1,79,1999,pop,1.0
2,66,1999,pop,1.0
4,65,2000,pop,1.0
5,69,1999,pop,1.0
7,68,2000,pop,1.0
8,75,1999,pop,1.0
10,1,2011,pop,1.0
11,56,1999,pop,1.0
12,55,2000,pop,1.0
13,62,1999,pop,1.0
14,61,1999,pop,1.0
15,53,2002,pop,1.0
16,64,1999,pop,1.0
17,73,2000,pop,1.0
18,64,1999,pop,1.0
22,62,2000,pop,1.0
24,54,1999,pop,1.0
26,69,2001,pop,1.0
27,53,2000,pop,1.0
28,54,2000,pop,1.0
30,71,1999,pop,1.0
31,49,2000,pop,1.0
32,58,2000,pop,1.0
34,58,1999,pop,1.0
35,59,1999,pop,1.0
36,55,2000,pop,1.0
38,61,2001,pop,1.0
39,55,2000,pop,1.0
40,54,1999,pop,1.0
41,66,2000,pop,1.0
42,36,2000,pop,1.0
44,49,1998,pop,1.0
45,68,1999,pop,1.0
46,43,2018,pop,1.0
47,59,2000,pop,1.0
49,52,2004,pop,1.0
50,47,2001,pop,1.0
51,60,2000,pop,1.0
52,55,2000,pop,1.0
53,60,1999,pop,1.0
55,59,1999,pop,1.0
57,63,1999,pop,1.0
58,65,2001,pop,1.0
60,58,2010,pop,1.0
61,52,2000,pop,1.0
62,0,2011,pop,1.0
63,60,2000,pop,1.0
64,61,1999,pop,1.0
65,58,2000,pop,1.0
67,55,2000,pop,1.0
68,70,2000,pop,1.0
70,55,2000,pop,1.0
71,55,2000,pop,1.0
72,58,2000,pop,1.0
73,59,2000,pop,1.0
75,70,1999,pop,1.0
76,64,1999,pop,1.0
77,78,2000,pop,1.0
78,52,2000,pop,1.0
79,57,2000,pop,1.0
80,49,2000,pop,1.0
81,57,1999,pop,1.0
82,54,1999,pop,1.0
83,68,2000,pop,1.0
84,62,2000,pop,1.0
85,65,2001,pop,1.0
86,60,2000,pop,1.0
88,56,1999,pop,1.0
89,54,2000,pop,1.0
90,60,2001,pop,1.0
91,70,2000,pop,1.0
92,64,1999,pop,1.0
93,68,2000,pop,1.0
94,65,2000,pop,1.0
96,64,1999,pop,1.0
97,69,1999,pop,1.0
98,65,2000,pop,1.0
99,68,2000,pop,1.0
100,76,2000,pop,1.0
101,70,2001,pop,1.0
103,73,2001,pop,1.0
104,68,2001,pop,1.0
105,1,2000,pop,1.0
106,74,2001,pop,1.0
107,78,2001,pop,1.0
108,77,2001,pop,1.0
109,62,2001,pop,1.0
110,71,2001,pop,1.0
111,69,2001,pop,1.0
112,62,2001,pop,1.0
113,57,2001,pop,1.0
114,76,2001,pop,1.0
115,53,2015,pop,1.0
117,65,2001,pop,1.0
119,54,2001,pop,1.0
120,57,2001,pop,1.0
121,63,2001,pop,1.0
122,43,2001,pop,1.0
124,64,2001,pop,1.0
125,73,2001,pop,1.0
126,0,2001,pop,1.0
127,50,2002,pop,1.0
130,82,2000,pop,1.0
131,50,2001,pop,1.0
132,42,2001,pop,1.0
133,73,1999,pop,1.0
134,57,2000,pop,1.0
136,57,2001,pop,1.0
137,68,2001,pop,1.0
138,52,2008,pop,1.0
139,60,2001,pop,1.0
143,48,2000,pop,1.0
144,61,2001,pop,1.0
145,67,2001,pop,1.0
146,65,2001,pop,1.0
147,55,2001,pop,1.0
148,63,2001,pop,1.0
149,47,2001,pop,1.0
152,57,2001,pop,1.0
153,68,2001,pop,1.0
154,26,2016,pop,1.0
155,53,2000,pop,1.0
156,58,2001,pop,1.0
157,58,2001,pop,1.0
158,67,2001,pop,1.0
160,63,2001,pop,1.0
161,60,2000,pop,1.0
162,1,2000,pop,1.0
164,46,2004,pop,1.0
165,56,2000,pop,1.0
166,60,2001,pop,1.0
168,60,2001,pop,1.0
169,58,2000,pop,1.0
170,64,2001,pop,1.0
171,53,2000,pop,1.0
172,56,2001,pop,1.0
173,68,2000,pop,1.0
174,46,2002,pop,1.0
176,65,2001,pop,1.0
177,66,2001,pop,1.0
178,64,2001,pop,1.0
179,65,2001,pop,1.0
181,66,2001,pop,1.0
182,0,2000,pop,1.0
184,48,2001,pop,1.0
185,0,2001,pop,1.0
186,54,2000,pop,1.0
187,60,2001,pop,1.0
188,75,2000,pop,1.0
189,59,2001,pop,1.0
190,68,2001,pop,1.0
192,69,2001,pop,1.0
194,30,2019,pop,1.0
196,56,2000,pop,1.0
197,65,2001,pop,1.0
198,45,2001,pop,1.0
199,61,2000,pop,1.0
200,77,2002,pop,1.0
202,78,2002,pop,1.0
203,75,2002,pop,1.0
204,72,2001,pop,1.0
205,64,2001,pop,1.0
206,27,2001,pop,1.0
207,58,2002,pop,1.0
208,68,2002,pop,1.0
210,69,2004,pop,1.0
211,60,2001,pop,1.0
212,53,2003,pop,1.0
213,53,2002,pop,1.0
214,40,2019,pop,1.0
217,0,2019,pop,1.0
218,54,2002,pop,1.0
219,59,2002,pop,1.0
221,43,2002,pop,1.0
223,61,2001,pop,1.0
224,46,2013,pop,1.0
225,49,2001,pop,1.0
226,42,2002,pop,1.0
227,52,2002,pop,1.0
228,60,2002,pop,1.0
229,55,2001,pop,1.0
230,59,2001,pop,1.0
231,47,2013,pop,1.0
232,58,2002,pop,1.0
233,59,2002,pop,1.0
234,59,2015,pop,1.0
235,64,2002,pop,1.0
236,55,2000,pop,1.0
237,75,2002,pop,1.0
238,53,2003,pop,1.0
239,68,2002,pop,1.0
240,49,2002,pop,1.0
241,45,2002,pop,1.0
243,73,2001,pop,1.0
244,43,2019,pop,1.0
245,26,2001,pop,1.0
246,2,2002,pop,1.0
248,58,2002,pop,1.0
