pop,rock,country,metal,hip hop,R&B,Dance/Electronic,Folk/Acoustic,easy listening,latin,blues,set(),World/Traditional,jazz,classical,year,popularity
1.0,,,,,,,,,,,,,,,2000,77
1.0,1.0,,,,,,,,,,,,,,1999,79
1.0,,1.0,,,,,,,,,,,,,1999,66
,1.0,,1.0,,,,,,,,,,,,2000,78
1.0,,,,,,,,,,,,,,,2000,65
1.0,,,,1.0,1.0,,,,,,,,,,1999,69
,,,,1.0,,,,,,,,,,,2000,86
1.0,1.0,,,,,,,,,,,,,,2000,68
1.0,,,,,1.0,,,,,,,,,,1999,75
,,,,,,1.0,,,,,,,,,2001,77
1.0,,,,,,,,,,,,,,,2011,1
1.0,,,,,,,,,,,,,,,1999,56
1.0,,,,,,,,,,,,,,,2000,55
1.0,1.0,,,,,,,,,,,,,,1999,62
1.0,,,,,,1.0,,,,,,,,,1999,61
1.0,,,,1.0,1.0,,,,,,,,,,2002,53
1.0,,,,,,,,,,,,,,,1999,64
1.0,,,,,,,,,,,,,,,2000,73
1.0,,,,,,,,,,,,,,,1999,64
,,,,1.0,,,,,,,,,,,1999,82
,1.0,,1.0,,,,,,,,,,,,2000,83
,1.0,,,,,,1.0,1.0,,,,,,,1999,65
1.0,,,,,,,,,,,,,,,2000,62
,,,,1.0,,,,,,,,,,,2000,54
1.0,,,,,,1.0,,,,,,,,,1999,54
,,,1.0,,,,,,,,,,,,2000,72
1.0,,,,,,1.0,,,,,,,,,2001,69
1.0,,,,1.0,1.0,,,,,,,,,,2000,53
1.0,,,,,,1.0,,,,,,,,,2000,54
,,,,,,1.0,,,,,,,,,2016,47
1.0,,,,1.0,,,,,,,,,,,1999,71
1.0,,,,,1.0,,,,,,,,,,2000,49
1.0,,,,,,,,,,,,,,,2000,58
,,,,,1.0,,,,,,,,,,2000,52
1.0,,,,,,,,,,,,,,,1999,58
1.0,,,,1.0,1.0,,,,,,,,,,1999,59
1.0,,,,,,1.0,,,,,,,,,2000,55
,,,,1.0,,,,,,,,,,,1999,69
1.0,,1.0,,,,,,,,,,,,,2001,61
1.0,,,,,1.0,,,,,,,,,,2000,55
1.0,,,,,,,,,1.0,,,,,,1999,54
1.0,,,,,1.0,,,,,,,,,,2000,66
1.0,,,,1.0,1.0,,,,,,,,,,2000,36
,,,,1.0,,,,,,,,,,,1999,79
1.0,,,,1.0,1.0,,,,,,,,,,1998,49
1.0,,,,,,,,,,,,,,,1999,68
1.0,,,,,,,,,,,,,,,2018,43
1.0,,,,,1.0,,,,,,,,,,2000,59
,,,,,1.0,,,,,,,,,,2000,64
1.0,,,,1.0,1.0,,,,,,,,,,2004,52
1.0,,,,,1.0,,,,,,,,,,2001,47
1.0,,,,,,,,,1.0,,,,,,2000,60
1.0,,,,1.0,1.0,,,,,,,,,,2000,55
1.0,,,,1.0,1.0,,,,,,,,,,1999,60
,,,,1.0,,,,,,,,,,,2000,59
1.0,,,,,1.0,,,,,,,,,,1999,59
,,,,,1.0,,,,,,,,,,2000,65
1.0,,,,,1.0,,,,,,,,,,1999,63
1.0,,1.0,,,,,,,,,,,,,2001,65
,1.0,,,,,,1.0,,,,,,,,2000,0
1.0,,,,,,1.0,,1.0,,,,,,,2010,58
1.0,,,,,,,,,,,,,,,2000,52
1.0,,,,,1.0,,,,,,,,,,2011,0
1.0,,,,1.0,1.0,,,,,,,,,,2000,60
1.0,,,,,,,,,,,,,,,1999,61
1.0,,,,,,,,,,,,,,,2000,58
,1.0,,,,,,,,,,,,,,1999,78
1.0,,,,1.0,1.0,,,,,,,,,,2000,55
1.0,,,,1.0,1.0,,,,,,,,,,2000,70
,1.0,,,,,,,,1.0,1.0,,,,,1999,66
1.0,,,,,1.0,,,,,,,,,,2000,55
1.0,,,,,,,,,,,,,,,2000,55
1.0,,,,,,,,,,,,,,,2000,58
1.0,1.0,,,,,,,,,,,,,,2000,59
,,,,,,1.0,,,,,,,,,1999,56
1.0,,,,,1.0,,,,,,,,,,1999,70
1.0,,,,,,,,,,,,,,,1999,64
1.0,1.0,,1.0,,,,,,,,,,,,2000,78
1.0,,,,,1.0,,,,,,,,,,2000,52
1.0,,,,1.0,,,,,,,,,,,2000,57
1.0,1.0,,1.0,,,,,,,,,,,,2000,49
1.0,,,,,1.0,,,,,,,,,,1999,57
1.0,,,,,,,,,,,,,,,1999,54
1.0,,,,,,,,,,,,,,,2000,68
1.0,,,,,,,,,,,,,,,2000,62
1.0,,,,,1.0,,,,,,,,,,2001,65
1.0,,,,,,,,,,,,,,,2000,60
,,,,1.0,1.0,,,,,,,,,,2000,54
1.0,,,,,,,,,1.0,,,,,,1999,56
1.0,1.0,,,,,,,,,,,,,,2000,54
1.0,,,,,1.0,,,,,,,,,,2001,60
1.0,,,,,,,,,,,,,,,2000,70
1.0,1.0,,1.0,,,,,,,,,,,,1999,64
1.0,,,,,,,1.0,,,,,,,,2000,68
1.0,,,,,1.0,,,,,,,,,,2000,65
,,,,,,,,,,,1.0,,,,1999,71
1.0,,,,,,,,,,,,,,,1999,64
1.0,1.0,,1.0,,,,,,,,,,,,1999,69
1.0,,,,,,,,,,,,,,,2000,65
1.0,,,,1.0,1.0,,,,,,,,,,2000,68
1.0,,,,1.0,,,,,,,,,,,2000,76
1.0,,,,,1.0,,,,,,,,,,2001,70
,,,,1.0,,,,,,,,,,,2000,83
1.0,,,,,,1.0,,,,,,,,,2001,73
1.0,,,,,,,,,,,,,,,2001,68
1.0,,,,1.0,,,,,1.0,,,,,,2000,1
1.0,,,,,,,,,1.0,,,,,,2001,74
1.0,1.0,,,,,,,,,,,,,,2001,78
1.0,,,,,,,,,,,,,,,2001,77
1.0,,,,,,,,,,,,,,,2001,62
1.0,,,,,1.0,,,,,,,,,,2001,71
1.0,,,,,,,,,,,,,,,2001,69
1.0,,,,,,1.0,,,,,,,,,2001,62
1.0,,,,1.0,1.0,,,,,,,,,,2001,57
1.0,,,,,1.0,,,,,,,,,,2001,76
1.0,,,,,,1.0,,,,,,,,,2015,53
,,,1.0,,,,,,,,,,,,2000,73
1.0,,,,,,,,,,,,,,,2001,65
,,,,,,1.0,,,,,,,,,2006,54
1.0,,,,,,,,,,,,,,,2001,54
1.0,,,,1.0,1.0,,,,,,,,,,2001,57
1.0,,,,,,,,,,,,,,,2001,63
1.0,,,,,1.0,,,,,,,,,,2001,43
,1.0,,1.0,,,,,,,,,,,,1999,71
1.0,,,,,1.0,,,,,,,,,,2001,64
1.0,,,,1.0,1.0,,,,,,,,,,2001,73
1.0,,,,1.0,1.0,,,,,,,,,,2001,0
1.0,,,,1.0,1.0,,,,,,,,,,2002,50
,1.0,,1.0,,,,,,,,,,,,2001,78
,,,,1.0,,1.0,,,,,,,,,2001,76
1.0,,,,1.0,,,,,,,,,,,2000,82
1.0,,,,,,1.0,,,,,,,,,2001,50
1.0,,,,,1.0,,,,,,,,,,2001,42
1.0,,,,,,,,,,,,,,,1999,73
1.0,,,,,1.0,,,,,,,,,,2000,57
,1.0,,1.0,,,,,,,,,,,,2001,69
1.0,,,,1.0,1.0,,,,,,,,,,2001,57
1.0,,,,1.0,1.0,,,,,,,,,,2001,68
1.0,,,,,,,,,1.0,,,,,,2008,52
1.0,,,,1.0,1.0,,,,,,,,,,2001,60
,,,,,,1.0,,,,,,,,,2000,50
,,,,1.0,,,,,,,,,,,2001,74
,,,,1.0,,,,,,,,,,,2001,57
1.0,,,,,1.0,,,,,,,,,,2000,48
1.0,,,,,1.0,,,,,,,,,,2001,61
1.0,,,,1.0,1.0,,,,,,,,,,2001,67
1.0,,,,,,,,,,,,,,,2001,65
1.0,,,,1.0,1.0,,,,,,,,,,2001,55
1.0,,,,1.0,1.0,,,,,,,,,,2001,63
